split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,n,tau,tau_used,c_index,brier
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,dynasurv,1,1977,24.0,24.0,0.6435320680522222,0.1894593731166729
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,oracle,1,1977,24.0,24.0,0.7113958124847594,0.1390466465871648
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,naive_km,1,1977,24.0,24.0,0.5598740008231289,0.1680081576442912
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,dynasurv,2,840,18.0,18.0,0.6507220534298538,0.1793317335930948
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,oracle,2,840,18.0,18.0,0.6940668303311134,0.1437719594179162
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,naive_km,2,840,18.0,18.0,0.599800315250235,0.1756833429083319
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,dynasurv,3,438,12.0,12.0,0.6648775849810656,0.1446741960577137
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,oracle,3,438,12.0,12.0,0.710773698943716,0.1306606899943209
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,naive_km,3,438,12.0,12.0,0.5624683604025932,0.1747435370155484
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,dynasurv,4,198,12.0,12.0,0.689345110775404,0.1079983650471535
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,oracle,4,198,12.0,12.0,0.7441382136171273,0.1035748130347393
legacy_reused_holdout,1,bestCI,0,0,0.0,heterogeneity,naive_km,4,198,12.0,12.0,0.4927746429095385,0.150390991074665
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,dynasurv,1,1977,24.0,24.0,0.6724724999303336,0.1590733897238504
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,oracle,1,1977,24.0,24.0,0.7113993308488047,0.1368247386959483
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,naive_km,1,1977,24.0,24.0,0.5829569723864942,0.1629229733648719
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,dynasurv,2,840,18.0,18.0,0.6698297713633959,0.1559058572272827
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,oracle,2,840,18.0,18.0,0.7003034135240587,0.1326520936406729
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,naive_km,2,840,18.0,18.0,0.5968459722748236,0.167664236675746
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,dynasurv,3,438,12.0,12.0,0.6868887252611895,0.1451804875612469
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,oracle,3,438,12.0,12.0,0.7002531798357192,0.140527208275122
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,naive_km,3,438,12.0,12.0,0.5628308638585199,0.1783264214692891
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,dynasurv,4,198,12.0,12.0,0.6769042133335047,0.1178672876215208
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,oracle,4,198,12.0,12.0,0.7420431412812218,0.1054245219703655
legacy_reused_holdout,1,bestCI,1,1,0.0,heterogeneity,naive_km,4,198,12.0,12.0,0.5182222341487001,0.1591187695562456
legacy_reused_holdout,1,bestCI,2,2,0.0,heterogeneity,dynasurv,1,1977,24.0,24.0,0.6694686026173747,0.1754902953073451
legacy_reused_holdout,1,bestCI,2,2,0.0,heterogeneity,oracle,1,1977,24.0,24.0,0.7101957604360422,0.1443407776312804
legacy_reused_holdout,1,bestCI,2,2,0.0,heterogeneity,naive_km,1,1977,24.0,24.0,0.5945000750950034,0.1758596858077056
legacy_reused_holdout,1,bestCI,2,2,0.0,heterogeneity,dynasurv,2,840,18.0,18.0,0.6930062960307737,0.1436584779540792
legacy_reused_holdout,1,bestCI,2,2,0.0,heterogeneity,oracle,2,840,18.0,18.0,0.7277769767102596,0.1264880936486496
