split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm,kind,n,rmse_S,rmst_mae,rmst_bias
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET alone,factual,127,0.1230093377657461,1.4022888156627935,0.7529216643507105
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,factual,338,0.15318368886,1.784898678018107,1.4517410370582264
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,MONOCT std alone,factual,269,0.1153165244143935,1.3274304732371454,0.5516674339153441
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,POLYCT alone,factual,106,0.1147566306344221,1.3925416626272182,0.2480543278987145
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET alone,counterfactual,713,0.1315500729826653,1.5279286188533097,0.8341687496103651
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,counterfactual,502,0.1481389585596207,1.7258746785401202,1.3659429064284183
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,MONOCT std alone,counterfactual,571,0.1101428637176108,1.2974169602879204,0.5148670482044385
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,POLYCT alone,counterfactual,734,0.1106237617682975,1.3134598003487226,0.2756891450937306
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET alone,factual,29,0.1034133946465958,0.7742549587294794,0.0417508778353394
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,factual,40,0.1220931835476399,0.9057760968739615,0.1501801844695939
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,MONOCT std alone,factual,261,0.1105665795299516,0.8716406695700153,-0.2587897547797269
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,POLYCT alone,factual,108,0.1045266065314815,0.7966646472068838,-0.3283436229481347
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET alone,counterfactual,409,0.1087748078862604,0.840345041778302,-0.0082747002584188
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,counterfactual,398,0.110325688101325,0.8077037546067503,0.2786631878564378
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,MONOCT std alone,counterfactual,177,0.1021785016910352,0.8116616292199172,-0.2387246583349157
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,POLYCT alone,counterfactual,330,0.1210334304685862,0.927293677117581,-0.3207783098861189
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,ET alone,factual,3,0.0803822402705056,0.7359035479190457,-0.0459564985483703
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,MONOCT std alone,factual,117,0.1460359426726889,1.1882813943852455,-0.5428381301196323
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,POLYCT alone,factual,74,0.1379539164924619,1.1064961887768012,-0.4529381726017208
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,ET alone,counterfactual,195,0.1354710450159875,1.0576653260216444,-0.2128163032249192
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,MONOCT std alone,counterfactual,81,0.1246908925595439,1.051275666199175,-0.5032236222746093
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,POLYCT alone,counterfactual,124,0.1502317554758172,1.1333325605742852,-0.6389728678680471
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET alone,factual,515,0.1174153357044893,1.4852212320492288,0.1534070363180875
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,factual,1630,0.1250698688898782,1.640001980033329,0.867166045319629
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,MONOCT std alone,factual,828,0.1175859958777819,1.2035618954162142,-0.0860759939146109
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,POLYCT alone,factual,476,0.1151410571981334,1.2921381406980128,-0.0312942367254777
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET alone,counterfactual,2938,0.1209253505098377,1.463784094693513,0.1390375914060723
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,counterfactual,1625,0.1270357483971446,1.4625852487077824,0.7925474476735438
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,MONOCT std alone,counterfactual,2625,0.1127885660621,1.4598508681811373,-0.1835387257133115
