split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm_a,arm_b,n,pehe,ate_true,ate_bias,sign_agree
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,MONOCT std alone,POLYCT alone,3453,1.4993586968440462,-0.0776323180526209,-0.2349033553272771,0.6652186504488851
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET alone,ET+ANTI-CDK wo CT,1977,1.082733994627313e-06,-0.4921216692647041,-5.583416871624003e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET alone,MONOCT std alone,1977,1.9547661921593943e-06,-0.0574449803944312,9.578763578294014e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET alone,POLYCT alone,1977,2.394162026860771e-06,-0.0732824708837307,1.6744434430671085e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,MONOCT std alone,1977,2.055646032828635e-06,0.4346766888702729,1.5162180449501683e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,POLYCT alone,1977,2.5745088027049267e-06,0.4188391983809734,7.257860313303333e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,MONOCT std alone,POLYCT alone,1977,2.4959390581635927e-06,-0.0158374904892994,-7.904320135365683e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET alone,ET+ANTI-CDK wo CT,840,2.8897912398499835e-06,-0.3008556043247126,-6.028565660010088e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET alone,MONOCT std alone,840,3.831082556193025e-06,0.0170592743046201,2.0934508031880683e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET alone,POLYCT alone,840,4.408691923809248e-06,-0.1805348664435792,7.043264889650125e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,MONOCT std alone,840,4.383676093388316e-06,0.3179148786293326,2.696307369320916e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,POLYCT alone,840,5.053234441847129e-06,0.1203207378811333,1.3071830550631658e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,MONOCT std alone,POLYCT alone,840,4.972691165945876e-06,-0.1975941407481994,-1.3891243141883614e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,3,ET alone,ET+ANTI-CDK wo CT,438,4.4039319944333904e-06,-0.2585709532801001,-4.713485942109408e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,3,ET alone,MONOCT std alone,438,4.7520152409548406e-06,-0.0004924416400668,2.468987449070581e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,3,ET alone,POLYCT alone,438,6.426752903182068e-06,-0.0779958935191082,7.619559826282929e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,3,ET+ANTI-CDK wo CT,MONOCT std alone,438,5.46143408125122e-06,0.2580785116400332,2.940336043255609e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,3,ET+ANTI-CDK wo CT,POLYCT alone,438,6.37935608223983e-06,0.1805750597609919,1.233304576825356e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,3,MONOCT std alone,POLYCT alone,438,6.4150444855605045e-06,-0.0775034518790413,-1.7070314664580089e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,4,ET alone,MONOCT std alone,198,6.110275580418668e-06,0.0767461876171119,2.9774020644662835e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,4,ET alone,POLYCT alone,198,6.560601804461151e-06,-0.1092542436295924,1.344646333625854e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,4,MONOCT std alone,POLYCT alone,198,8.132687990037286e-06,-0.1860004312467043,-1.6327557308404297e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,all,ET alone,ET+ANTI-CDK wo CT,3255,2.3402742053736065e-06,-0.4113355838112941,-5.581234148732683e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,all,ET alone,MONOCT std alone,3453,3.2807772613254898e-06,-0.0244016449794586,1.5416050812532e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,all,ET alone,POLYCT alone,3453,3.964507270035913e-06,-0.1020339630320796,4.409639194624671e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,all,ET+ANTI-CDK wo CT,MONOCT std alone,3255,3.396956663690569e-06,0.3807811674480809,2.0123896933843533e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,all,ET+ANTI-CDK wo CT,POLYCT alone,3255,4.01143616126557e-06,0.3097408267879112,9.441167910240188e-07,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,all,MONOCT std alone,POLYCT alone,3453,4.312178704868865e-06,-0.0776323180526209,-1.1006411618080802e-06,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,1,ET alone,ET+ANTI-CDK wo CT,1977,0.3053856481338968,-0.4921216692647041,0.1477145754618147,1.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,1,ET alone,MONOCT std alone,1977,1.1486929273141058,-0.0574449803944312,0.5057054475881614,0.6717248356095094
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,1,ET alone,POLYCT alone,1977,1.6237136009580897,-0.0732824708837307,0.3088329362708017,0.5609509357612544
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,1,ET+ANTI-CDK wo CT,MONOCT std alone,1977,0.9195769949898032,0.4346766888702729,0.3579908721263466,0.7971674253920081
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,1,ET+ANTI-CDK wo CT,POLYCT alone,1977,1.548091403631038,0.4188391983809734,0.1611183608089869,0.6944865958523014
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,1,MONOCT std alone,POLYCT alone,1977,1.5477509036237052,-0.0158374904892994,-0.1968725113173597,0.6019221041982802
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,2,ET alone,ET+ANTI-CDK wo CT,840,0.8553024978573803,-0.3008556043247126,-0.2647383346097498,0.6154761904761905
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,2,ET alone,MONOCT std alone,840,0.9628845593318364,0.0170592743046201,-0.0875142356923431,0.413095238095238
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,2,ET alone,POLYCT alone,840,1.5166004243841016,-0.1805348664435792,0.2766579702494004,0.5083333333333333
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,2,ET+ANTI-CDK wo CT,MONOCT std alone,840,1.0548609021918451,0.3179148786293326,0.1772240989174067,0.7130952380952381
