split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,policy,line,n,value,regret,hit_rate,abstain_rate
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,best_constant,4,198,8.933144965043134,0.2398608622942359,0.6060606060606061,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,best_constant,all,3453,17.06391460030014,0.4929394761530092,0.562699102229945,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,line_only,1,1977,20.85632338019867,0.428090032616654,0.6626201315123925,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,line_only,2,840,14.056524955054275,0.626846472767551,0.425,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,line_only,3,438,9.742774534717991,0.289747510199103,0.4794520547945205,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,line_only,4,198,8.992123823988488,0.1808820033488818,0.6666666666666666,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,line_only,all,3453,17.112136706705638,0.4447173697475104,0.5818129163046626,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,supported,1,1977,20.858882392037252,0.4255310207780758,0.663631765300961,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,supported,2,840,14.056202902875702,0.6271685249461246,0.425,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,supported,3,438,9.737597391354765,0.2949246535623326,0.4703196347031963,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,supported,4,198,8.992123823988488,0.1808820033488818,0.6666666666666666,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,supported,all,3453,17.11286681205802,0.4439872643951291,0.58123370981755,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,line_only,1,1977,21.28441341281533,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,line_only,2,840,14.683371427821829,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,line_only,3,438,10.032522044917098,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,line_only,4,198,9.17300582733737,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,line_only,all,3453,17.55685407645315,0.0,1.0,0.0
